cis;x_norm;y_norm;offset_x;offset_y
TRUCHTERSHEIM;0.5416; 0.5103;0;0
UHRWILLER;0.4965;0.3358;0;0
UHRWILLER ENGWILLER;0.4276;0.3455;0;0
URMATT;0.3236;0.6219;0;0
VAL DE MODER;0.5278;0.3592;0;0
VALFF;0.4915;0.7025;0;0
VENDENHEIM;0.6166;0.5005;0;0
VILLE;0.3204;0.7735;0;0
VOLKSBERG;0.2860;0.2888;0;0
WALTENHEIM SUR ZORN;0.5454;0.4447;0;0
WANGENBOURG ENGENTHA;0.3088;0.5430;0;0
WASSELONNE;0.4151;0.5280;0;0
WEISLINGEN;0.2547;0.3163;0;0
WEITBRUCH;0.6569;0.4261;0;0
WESTHOFFEN;0.4013;0.5590;0;0
WESTHOUSE;0.5216;0.7123;0;0
WEYER;0.1871;0.3659;0;0
WEYERSHEIM;0.6932;0.4589;0;0
WILWISHEIM;0.4330;0.4499;0;0
WIMMENAU;0.3825;0.3065;0;0
WINGEN;0.6667;0.2006;0;0
WINGEN SUR MODER;0.3439;0.3094;0;0
WINGERSHEIM LES QUAT;0.5428;0.4616;0;0
WINTERSHOUSE;0.6016;0.3988;0;0
WINTZENBACH;0.8856;0.2767;0;0
WISCHES;0.2300;0.6332;0;0
WISSEMBOURG;0.7693;0.2042;0;0
WITTISHEIM;0.5616;0.8119;0;0
WOERTH;0.6204;0.2838;0;0
WOLFISHEIM;0.6429;0.5386;0;0
ZZ_DAMBACH LA VILLE;0.4290;0.7854;0;0
ZZ_MUTZIG;0.4277;0.6111;0;0
ZZ_SCHILTIGHEIM;0.6504;0.5359;0;0
